"","Measurement.Time","Value","Loc"
"389",2017-11-22,19.06825,"PC"
"390",2017-11-22,18.949,"PC"
"391",2017-11-22,18.878,"PC"
"392",2017-11-22,18.80675,"PC"
"393",2017-11-22,18.73525,"PC"
"394",2017-11-22,18.616,"PC"
"395",2017-11-22,18.8775,"PC"
"396",2017-11-22,18.71125,"PC"
"397",2017-11-22,18.33075,"PC"
"398",2017-11-22,18.35425,"PC"
"399",2017-11-22,18.307,"PC"
"400",2017-11-22,18.16425,"PC"
"401",2017-11-22,18.378,"PC"
"402",2017-11-22,18.47325,"PC"
"403",2017-11-22,19.21075,"PC"
"404",2017-11-22,19.32975,"PC"
"405",2017-11-22,19.568,"PC"
"406",2017-11-22,19.7585,"PC"
"407",2017-11-22,20.06775,"PC"
"408",2017-11-22,20.377,"PC"
"409",2017-11-22,20.949,"PC"
"410",2017-11-22,21.8575,"PC"
"411",2017-11-22,21.71275,"PC"
"412",2017-11-22,22.047,"PC"
"413",2017-11-22,22.26225,"PC"
"414",2017-11-22,22.7655,"PC"
"415",2017-11-22,23.3175,"PC"
"416",2017-11-22,23.6075,"PC"
"417",2017-11-22,23.36575,"PC"
"418",2017-11-22,21.4985,"PC"
"419",2017-11-22,22.66875,"PC"
"420",2017-11-22,23.55775,"PC"
"421",2017-11-22,24.54625,"PC"
"422",2017-11-22,23.99025,"PC"
"423",2017-11-22,23.14925,"PC"
"424",2017-11-22,21.954,"PC"
"425",2017-11-22,19.94825,"PC"
"426",2017-11-22,19.47275,"PC"
"427",2017-11-22,19.402,"PC"
"428",2017-11-22,19.355,"PC"
"429",2017-11-22,19.379,"PC"
"430",2017-11-22,19.3315,"PC"
"431",2017-11-22,19.8785,"PC"
"432",2017-11-22,19.3055,"PC"
"433",2017-11-23,18.83025,"PC"
"434",2017-11-23,18.8065,"PC"
"435",2017-11-23,18.64,"PC"
"436",2017-11-23,18.30675,"PC"
"437",2017-11-23,18.1165,"PC"
"438",2017-11-23,18.0215,"PC"
"439",2017-11-23,17.99775,"PC"
"440",2017-11-23,18.0215,"PC"
"441",2017-11-23,18.04525,"PC"
"442",2017-11-23,18.04525,"PC"
"443",2017-11-23,17.974,"PC"
"444",2017-11-23,18.0215,"PC"
"445",2017-11-23,17.95025,"PC"
"446",2017-11-23,17.974,"PC"
"447",2017-11-23,17.974,"PC"
"448",2017-11-23,18.069,"PC"
"449",2017-11-23,18.164,"PC"
"450",2017-11-23,18.521,"PC"
"451",2017-11-23,18.854,"PC"
"452",2017-11-23,19.09175,"PC"
"453",2017-11-23,19.47225,"PC"
"454",2017-11-23,19.7585,"PC"
"455",2017-11-23,19.8295,"PC"
"456",2017-11-23,20.23425,"PC"
"457",2017-11-23,20.067,"PC"
"458",2017-11-23,21.04425,"PC"
"459",2017-11-23,21.978,"PC"
"460",2017-11-23,21.68875,"PC"
"461",2017-11-23,21.927,"PC"
"462",2017-11-23,22.45325,"PC"
"463",2017-11-23,22.6695,"PC"
"464",2017-11-23,23.463,"PC"
"465",2017-11-23,23.5355,"PC"
"466",2017-11-23,23.391,"PC"
"467",2017-11-23,23.77425,"PC"
"468",2017-11-23,21.26275,"PC"
"469",2017-11-23,21.355,"PC"
"470",2017-11-23,21.18725,"PC"
"471",2017-11-23,20.73475,"PC"
"472",2017-11-23,20.6165,"PC"
"473",2017-11-23,18.40225,"PC"
"474",2017-11-23,18.40175,"PC"
"475",2017-11-23,18.4735,"PC"
"476",2017-11-23,18.6405,"PC"
"477",2017-11-23,18.83125,"PC"
"478",2017-11-23,19.11675,"PC"
"479",2017-11-23,19.9735,"PC"
"480",2017-11-23,20.80625,"PC"
"481",2017-11-24,19.97225,"PC"
"482",2017-11-24,19.163,"PC"
"483",2017-11-24,19.18725,"PC"
"484",2017-11-24,18.997,"PC"
"485",2017-11-24,18.8545,"PC"
"486",2017-11-24,18.35425,"PC"
"487",2017-11-24,18.21175,"PC"
"488",2017-11-24,18.35425,"PC"
"489",2017-11-24,18.35425,"PC"
"490",2017-11-24,18.4495,"PC"
"491",2017-11-24,18.5685,"PC"
"492",2017-11-24,18.4735,"PC"
"493",2017-11-24,18.33075,"PC"
"494",2017-11-24,18.44975,"PC"
"495",2017-11-24,18.52075,"PC"
"496",2017-11-24,18.59225,"PC"
"497",2017-11-24,19.09175,"PC"
"498",2017-11-24,19.21075,"PC"
"499",2017-11-24,19.068,"PC"
"500",2017-11-24,18.949,"PC"
"501",2017-11-24,19.2105,"PC"
"502",2017-11-24,19.377,"PC"
"503",2017-11-24,19.61475,"PC"
"504",2017-11-24,19.615,"PC"
"505",2017-11-24,19.496,"PC"
"506",2017-11-24,19.90075,"PC"
"507",2017-11-24,20.091,"PC"
"508",2017-11-24,20.329,"PC"
"509",2017-11-24,20.6865,"PC"
"510",2017-11-24,21.16325,"PC"
"511",2017-11-24,21.8085,"PC"
"512",2017-11-24,22.38375,"PC"
"513",2017-11-24,22.335,"PC"
"514",2017-11-24,22.0235,"PC"
"515",2017-11-24,22.023,"PC"
"516",2017-11-24,21.76,"PC"
"517",2017-11-24,19.80575,"PC"
"518",2017-11-24,19.06825,"PC"
"519",2017-11-24,18.9495,"PC"
"520",2017-11-24,19.021,"PC"
"521",2017-11-24,19.021,"PC"
"522",2017-11-24,18.59225,"PC"
"523",2017-11-24,17.90275,"PC"
"524",2017-11-24,17.73625,"PC"
"525",2017-11-24,18.498,"PC"
"526",2017-11-24,18.23575,"PC"
